epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,3990.65,2.0689,1.34607,1.22067,0.82654,0.72005,0.79007,0.29733,2.09262,1.22641,1.30012,0.0013532,0.0013532,0.0013532
100,4036.91,2.08074,1.35242,1.21849,0.80292,0.73941,0.79676,0.30331,2.03589,1.28193,1.26567,0.0013466,0.0013466,0.0013466
101,4065.71,2.0641,1.3269,1.21616,0.83927,0.72479,0.80332,0.31324,2.07406,1.14041,1.29405,0.00134,0.00134,0.00134
102,4107.75,2.0618,1.33424,1.21349,0.85003,0.7194,0.80867,0.31395,2.06308,1.19023,1.31109,0.0013334,0.0013334,0.0013334
103,4140.49,2.06763,1.34725,1.22203,0.85487,0.7197,0.81478,0.321,2.0493,1.23328,1.29041,0.0013268,0.0013268,0.0013268
104,4187.65,2.04894,1.31741,1.21087,0.82181,0.6987,0.77885,0.29452,2.07406,1.20523,1.2801,0.0013202,0.0013202,0.0013202
105,4217.03,2.08514,1.33245,1.21785,0.82737,0.72204,0.78916,0.31134,2.01589,1.19659,1.25567,0.0013136,0.0013136,0.0013136
106,4262.64,2.05324,1.31084,1.21658,0.8076,0.68446,0.76402,0.29295,2.09388,1.1888,1.29209,0.001307,0.001307,0.001307
107,4296.01,2.06498,1.33395,1.21508,0.81632,0.72479,0.78386,0.30017,2.06899,1.23973,1.28461,0.0013004,0.0013004,0.0013004
108,4328.61,2.07743,1.35236,1.21693,0.82968,0.707,0.78226,0.29721,2.06071,1.29069,1.2824,0.0012938,0.0012938,0.0012938
109,4364.77,2.03733,1.28844,1.20217,0.85556,0.73777,0.81741,0.33684,1.99726,1.10583,1.26619,0.0012872,0.0012872,0.0012872
110,4398.43,2.03203,1.30604,1.21319,0.81545,0.71284,0.76569,0.2846,2.11188,1.21507,1.32147,0.0012806,0.0012806,0.0012806
111,4449.5,2.0298,1.27672,1.20538,0.83806,0.7367,0.80503,0.311,2.01139,1.26462,1.25997,0.001274,0.001274,0.001274
112,4477.09,2.03027,1.30076,1.20988,0.86059,0.74021,0.82966,0.33324,2.02231,1.12651,1.28489,0.0012674,0.0012674,0.0012674
113,4526.69,2.05145,1.31691,1.22433,0.84514,0.76512,0.83497,0.33885,2.00329,1.10261,1.28185,0.0012608,0.0012608,0.0012608
114,4562.89,2.02356,1.25674,1.20351,0.75166,0.62752,0.67323,0.24102,2.31048,1.26782,1.39927,0.0012542,0.0012542,0.0012542
