epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,20714.8,1.53853,0.84402,1.85704,0.95851,0.95964,0.98441,0.55438,1.5561,0.64777,2.06098,0.007096,0.007096,0.007096
90,20943,1.53356,0.84397,1.85744,0.95897,0.96092,0.98517,0.55516,1.5558,0.64714,2.06111,0.007063,0.007063,0.007063
91,21173.7,1.52433,0.8384,1.84767,0.95731,0.96144,0.98478,0.55555,1.55576,0.64543,2.06083,0.00703,0.00703,0.00703
92,21408.5,1.52935,0.83223,1.8563,0.95906,0.9608,0.98481,0.55544,1.55561,0.64688,2.06151,0.006997,0.006997,0.006997
93,21642.2,1.53315,0.83696,1.86004,0.95862,0.9608,0.98505,0.55534,1.55638,0.64686,2.06321,0.006964,0.006964,0.006964
94,21871,1.5253,0.83197,1.84967,0.95934,0.9608,0.98506,0.55533,1.55738,0.64726,2.06463,0.006931,0.006931,0.006931
95,22101.9,1.52698,0.83546,1.84686,0.95898,0.9612,0.98512,0.55498,1.55717,0.65112,2.06412,0.006898,0.006898,0.006898
96,22335.3,1.52636,0.83857,1.83931,0.96016,0.9601,0.98538,0.55504,1.55664,0.65078,2.06248,0.006865,0.006865,0.006865
97,22569.2,1.5162,0.83511,1.83621,0.96016,0.96,0.98522,0.55508,1.5567,0.65046,2.06081,0.006832,0.006832,0.006832
98,22806,1.52389,0.82889,1.84123,0.95924,0.95974,0.98513,0.55559,1.55709,0.6479,2.0601,0.006799,0.006799,0.006799
99,23036.6,1.5233,0.83668,1.84286,0.96034,0.96059,0.98586,0.55573,1.55698,0.64729,2.05973,0.006766,0.006766,0.006766
100,23269.3,1.51322,0.8234,1.83879,0.9604,0.96089,0.98598,0.55552,1.5577,0.64652,2.06028,0.006733,0.006733,0.006733
101,23504.8,1.50849,0.81959,1.82594,0.95983,0.96037,0.9862,0.55576,1.55862,0.64408,2.06055,0.0067,0.0067,0.0067
102,23735.8,1.5063,0.81903,1.82935,0.96198,0.95931,0.98659,0.55508,1.55819,0.64326,2.06041,0.006667,0.006667,0.006667
103,23968.8,1.50642,0.8191,1.8358,0.96314,0.95761,0.98659,0.55499,1.55866,0.63856,2.06145,0.006634,0.006634,0.006634
104,24203.2,1.50591,0.8157,1.82724,0.96256,0.95853,0.98656,0.55486,1.55908,0.63942,2.06173,0.006601,0.006601,0.006601
105,24436.2,1.50962,0.81697,1.82775,0.96213,0.95802,0.98627,0.55438,1.5591,0.63494,2.06117,0.006568,0.006568,0.006568
106,24677.9,1.49922,0.81249,1.82345,0.96249,0.95803,0.98652,0.55442,1.55916,0.63195,2.06109,0.006535,0.006535,0.006535
107,24907.3,1.50168,0.81611,1.82261,0.96337,0.95798,0.98665,0.55431,1.55907,0.63177,2.06027,0.006502,0.006502,0.006502
108,25141.5,1.50425,0.8259,1.81468,0.96159,0.95993,0.98608,0.55461,1.55947,0.63333,2.05908,0.006469,0.006469,0.006469
109,25371.6,1.50397,0.80509,1.81946,0.96206,0.96123,0.98614,0.55516,1.55935,0.63109,2.05839,0.006436,0.006436,0.006436
110,25605.3,1.49206,0.80228,1.81109,0.96198,0.95995,0.98593,0.55531,1.56019,0.63068,2.05803,0.006403,0.006403,0.006403
111,25843.4,1.49039,0.81477,1.80566,0.96265,0.96082,0.98592,0.55575,1.56082,0.63108,2.05735,0.00637,0.00637,0.00637
112,26081.8,1.49092,0.81119,1.81009,0.96245,0.96123,0.98618,0.55587,1.56148,0.62839,2.05732,0.006337,0.006337,0.006337
113,26310.8,1.50062,0.8106,1.81288,0.96306,0.95952,0.98605,0.55632,1.56218,0.62524,2.05678,0.006304,0.006304,0.006304
114,26546.2,1.49257,0.80119,1.80522,0.96257,0.95878,0.98559,0.55615,1.56218,0.61935,2.05673,0.006271,0.006271,0.006271
115,26777.1,1.48592,0.79935,1.80407,0.96299,0.95893,0.98558,0.55664,1.56228,0.61196,2.05685,0.006238,0.006238,0.006238
116,27014.3,1.48646,0.79967,1.80096,0.96349,0.95888,0.98549,0.5562,1.56262,0.60798,2.05692,0.006205,0.006205,0.006205
117,27252.2,1.47423,0.80099,1.78765,0.96322,0.95958,0.98562,0.5563,1.56232,0.606,2.05541,0.006172,0.006172,0.006172
118,27485.8,1.48138,0.80713,1.79997,0.9627,0.96222,0.98559,0.55677,1.5627,0.60156,2.05477,0.006139,0.006139,0.006139
119,27717.5,1.48182,0.79269,1.79343,0.96244,0.96068,0.98546,0.55635,1.56214,0.60171,2.05352,0.006106,0.006106,0.006106
120,27960.7,1.47486,0.80309,1.78784,0.96266,0.96129,0.98568,0.55673,1.5619,0.60065,2.05254,0.006073,0.006073,0.006073
121,28194.1,1.4737,0.79037,1.78526,0.96343,0.9596,0.98557,0.55695,1.56156,0.59753,2.05103,0.00604,0.00604,0.00604
122,28424.9,1.4683,0.78851,1.78127,0.96353,0.96016,0.98598,0.55632,1.56239,0.5977,2.05049,0.006007,0.006007,0.006007
123,28658.8,1.47798,0.79876,1.78363,0.96267,0.96144,0.986,0.55663,1.563,0.59555,2.05001,0.005974,0.005974,0.005974
124,28888.5,1.46245,0.78175,1.78129,0.96356,0.96123,0.98607,0.55664,1.5636,0.59192,2.0498,0.005941,0.005941,0.005941
125,29120.7,1.46846,0.78396,1.77453,0.96291,0.96187,0.98584,0.55657,1.56474,0.58918,2.04914,0.005908,0.005908,0.005908
126,29357.3,1.46441,0.79056,1.77341,0.96365,0.96229,0.98608,0.55657,1.56531,0.58591,2.0483,0.005875,0.005875,0.005875
127,29587.5,1.46888,0.79389,1.78939,0.96369,0.96165,0.98589,0.55648,1.56692,0.58584,2.0496,0.005842,0.005842,0.005842
128,29820.6,1.46994,0.78497,1.78301,0.96558,0.96224,0.98691,0.55697,1.5674,0.58592,2.04966,0.005809,0.005809,0.005809
129,30054.8,1.46444,0.77709,1.78095,0.96518,0.96253,0.98697,0.55662,1.56841,0.58287,2.04943,0.005776,0.005776,0.005776
130,30284.8,1.46047,0.77405,1.77408,0.96565,0.96421,0.98729,0.55581,1.56872,0.5826,2.04944,0.005743,0.005743,0.005743
131,30516.3,1.4615,0.78168,1.77722,0.96501,0.9636,0.98653,0.5562,1.56922,0.58209,2.04895,0.00571,0.00571,0.00571
132,30749.4,1.45816,0.78043,1.7754,0.96388,0.96485,0.98708,0.55656,1.56907,0.58056,2.04886,0.005677,0.005677,0.005677
133,30978.9,1.45565,0.77804,1.76869,0.96314,0.9657,0.98683,0.55678,1.56955,0.57851,2.04858,0.005644,0.005644,0.005644
134,31213.2,1.45014,0.7795,1.76543,0.96379,0.96634,0.98717,0.55737,1.56992,0.5757,2.04858,0.005611,0.005611,0.005611
135,31447.7,1.44509,0.78073,1.76119,0.96386,0.96582,0.98692,0.55684,1.57038,0.5753,2.04836,0.005578,0.005578,0.005578
136,31682.9,1.44768,0.77434,1.76748,0.9643,0.96634,0.98724,0.55677,1.57012,0.57398,2.0485,0.005545,0.005545,0.005545
137,31915.1,1.43945,0.76983,1.75154,0.96313,0.96823,0.98736,0.55671,1.5709,0.57193,2.04836,0.005512,0.005512,0.005512
138,32147,1.43866,0.76392,1.74597,0.96374,0.96825,0.98764,0.55662,1.57134,0.56994,2.04779,0.005479,0.005479,0.005479
139,32377.3,1.44614,0.76866,1.74986,0.9642,0.96962,0.98788,0.55623,1.57168,0.56788,2.04661,0.005446,0.005446,0.005446
140,32612.5,1.42818,0.76168,1.74473,0.96543,0.96975,0.98792,0.55688,1.57129,0.56574,2.04587,0.005413,0.005413,0.005413
141,32843.3,1.43989,0.76481,1.7534,0.96566,0.9689,0.98733,0.5572,1.57129,0.56441,2.0456,0.00538,0.00538,0.00538
142,33083.1,1.43621,0.76859,1.75202,0.96703,0.96842,0.98723,0.55714,1.57135,0.56214,2.045,0.005347,0.005347,0.005347
143,33319,1.43379,0.76893,1.74677,0.96814,0.96804,0.98761,0.55704,1.57183,0.56272,2.0449,0.005314,0.005314,0.005314
144,33558.6,1.43414,0.75951,1.74453,0.96747,0.96762,0.98723,0.55684,1.57236,0.56148,2.04499,0.005281,0.005281,0.005281
145,33790,1.4345,0.77109,1.74803,0.96657,0.96698,0.98719,0.55688,1.57303,0.55827,2.04568,0.005248,0.005248,0.005248
146,34020.1,1.42259,0.75939,1.74214,0.96776,0.96698,0.98698,0.55617,1.57417,0.5535,2.0457,0.005215,0.005215,0.005215
147,34254.9,1.42832,0.7584,1.74548,0.96776,0.96655,0.98711,0.55605,1.57452,0.5521,2.04589,0.005182,0.005182,0.005182
148,34486.5,1.41414,0.75264,1.72375,0.96836,0.96613,0.98666,0.55618,1.57495,0.55134,2.04573,0.005149,0.005149,0.005149
149,34723.1,1.41107,0.74951,1.72498,0.96987,0.96634,0.98684,0.55645,1.57512,0.55232,2.04545,0.005116,0.005116,0.005116
150,34959.3,1.41799,0.75127,1.72843,0.97003,0.96655,0.98664,0.55645,1.57504,0.55164,2.04528,0.005083,0.005083,0.005083
151,35189.9,1.40455,0.7477,1.72671,0.97007,0.96673,0.98689,0.55652,1.57484,0.55227,2.04503,0.00505,0.00505,0.00505
152,35425.6,1.41857,0.75518,1.73061,0.96891,0.96762,0.98697,0.55689,1.57463,0.55293,2.04529,0.005017,0.005017,0.005017
153,35656.7,1.41367,0.75902,1.72676,0.96939,0.96804,0.9871,0.55767,1.57487,0.55373,2.04521,0.004984,0.004984,0.004984
154,35890.2,1.40511,0.74245,1.72492,0.96951,0.96877,0.98687,0.55721,1.57514,0.55498,2.04589,0.004951,0.004951,0.004951
155,36123,1.40977,0.74691,1.72875,0.96928,0.96798,0.98642,0.55664,1.576,0.55824,2.04683,0.004918,0.004918,0.004918
156,36353.2,1.40358,0.74181,1.72199,0.96861,0.96642,0.98647,0.5563,1.57591,0.56045,2.04744,0.004885,0.004885,0.004885
157,36588.2,1.40288,0.74128,1.72109,0.96858,0.96698,0.98619,0.55696,1.57609,0.55856,2.04815,0.004852,0.004852,0.004852
158,36823.2,1.39887,0.73868,1.71046,0.96848,0.96741,0.98644,0.55655,1.57604,0.55951,2.04765,0.004819,0.004819,0.004819
159,37058.2,1.39926,0.73757,1.72062,0.96815,0.96804,0.98712,0.55719,1.57635,0.56064,2.048,0.004786,0.004786,0.004786
160,37293.6,1.38634,0.72841,1.70306,0.96872,0.96741,0.98701,0.55765,1.57672,0.56182,2.04882,0.004753,0.004753,0.004753
161,37523.7,1.39161,0.73501,1.7086,0.96846,0.96698,0.98632,0.55698,1.57698,0.56179,2.04902,0.00472,0.00472,0.00472
162,37752.4,1.38622,0.73494,1.7135,0.96816,0.96677,0.98636,0.55759,1.57666,0.56092,2.04971,0.004687,0.004687,0.004687
163,37987.7,1.39129,0.73743,1.70759,0.96818,0.96585,0.98601,0.55732,1.57715,0.55996,2.0503,0.004654,0.004654,0.004654
164,38218.3,1.3849,0.72553,1.70377,0.9667,0.96634,0.98531,0.55689,1.57807,0.55822,2.0509,0.004621,0.004621,0.004621
